Year,Date,Open,High,Low,Close,Adj Close,Volume
2016,20,609.3,609.5,607.9,608.3,608.3,72.70000
2016,21,603.6,603.6,595.9,597.1,597.1,82.80000
2016,22,597.3,598.5,596.2,596.3,596.3,67.10000
2016,23,596.2,603.2,595.8,602.8,602.8,51.10000
2016,24,603,604.6,602,602.6,602.6,35.40000
2016,25,602.7,603.4,599.7,600.8,600.8,34.00000
2016,26,600.8,608.1,600.3,608,608,59.20000
2016,27,608,608.2,604.1,606.2,606.2,49.40000
2016,28,606.2,606.6,604.6,604.7,604.7,48.70000
2016,29,605,606.8,604.8,605.7,605.7,55.70000
2016,30,605.7,609.7,604.1,609.7,609.7,56.10000
2016,1,609.9,615.2,609.9,614,614,56.40000
2016,2,613.9,614,609.7,610.9,610.9,39.20000
2016,3,611,612.6,610.5,612.1,612.1,46.80000
2016,4,612.1,612.1,609.5,610.2,610.2,49.80000
2016,5,610.2,613.8,609.6,612.5,612.5,68.10000
2016,6,612.5,613.8,611.5,613,613,56.80000
2016,7,612.6,617.9,611.8,617.1,617.1,64.10000
2016,8,617.3,619.8,617.3,619.1,619.1,42.30000
2016,9,619.2,619.2,616.6,616.8,616.8,39.20000
2016,10,616.8,621.3,616.2,619,619,67.50000
2016,11,619.2,642.1,618.5,641.1,641.1,104.00000
2016,12,640.9,641.3,636,636.2,636.2,92.40000
2016,13,636,638.8,635,636.8,636.8,61.60000
2016,14,637,641.3,637,640.4,640.4,58.10000
2016,15,640.3,642.1,637.4,638.6,638.6,39.00000
2016,16,639.1,642.9,638.9,641.6,641.6,40.30000
2016,17,641.8,642.3,638.7,639.2,639.2,58.10000
2016,18,639.4,640.7,636,638,638,65.50000
2016,19,638.1,638.9,628,630.5,630.5,69.40000
2016,20,630.7,631.9,628.3,630.9,630.9,57.00000
2016,21,630.8,634.1,630.7,632.8,632.8,56.00000
2016,22,633.1,658.2,632.8,657.3,657.3,78.60000
2016,23,657.6,661.1,653.9,657.1,657.1,54.50000
2016,24,657.2,657.3,652.6,653.8,653.8,62.20000
2016,25,654,664.4,653.7,657.6,657.6,90.40000
2016,26,657.7,679.7,657.7,678.3,678.3,88.90000
2016,27,678.2,688.6,678,688.3,688.3,96.10000
2016,28,688,690.4,684.2,689.7,689.7,81.10000
2016,29,690.3,720.4,690.1,714.5,714.5,135.00000
2016,30,714.1,714.1,696.5,701.9,701.9,101.00000
2016,31,702.6,709.3,691.7,701,701,97.10000
2016,1,701.3,736.5,701.3,729.8,729.8,131.00000
2016,2,730.1,740.8,722.3,740.8,740.8,84.90000
2016,3,742.3,745.8,678.2,688.7,688.7,173.00000
2016,4,689.1,706.9,685.6,703.2,703.2,99.90000
2016,5,703.5,707.5,697.7,703.4,703.4,53.80000
2016,6,703.8,714.3,699.6,711.5,711.5,59.90000
2016,7,710.7,710.7,699.9,703.1,703.1,65.00000
2016,8,703.1,713,702.4,709.8,709.8,79.70000
2016,9,709.8,740,708.6,723.3,723.3,132.00000
2016,10,722.8,723,711.2,715.5,715.5,68.80000
2016,11,715.6,718.3,714.4,716.4,716.4,63.10000
2016,12,716.8,717.1,704,705.1,705.1,64.60000
2016,13,705.2,705.3,687.3,702,702,80.30000
2016,14,702,706.3,699.8,705,705,63.00000
2016,15,705.8,715.7,705.3,711.6,711.6,72.00000
2016,16,711.2,747.6,709,744.2,744.2,141.00000
2016,17,744.9,755.6,739.5,741,741,109.00000
2016,18,740.7,752.9,736.9,751.6,751.6,87.40000
2016,19,751.8,756.2,744.5,751.6,751.6,111.00000
2016,20,751.9,755.5,717.9,731,731,154.00000
2016,21,731.3,741.7,730.5,739.2,739.2,60.80000
2016,22,739.6,753.9,736.5,751.3,751.3,130.00000
2016,23,751.7,752.3,738.9,744.6,744.6,76.50000
2016,24,744.6,746.8,733.5,740.3,740.3,85.90000
2016,25,740.4,741.6,734.6,741.6,741.6,67.80000
2016,26,741.5,742.2,729.6,735.4,735.4,55.00000
2016,27,735.4,739,731.1,732,732,52.60000
2016,28,732.5,738,732.5,735.8,735.8,61.90000
2016,29,736.3,737.5,734.6,735.6,735.6,68.50000
2016,30,736.3,747.9,736.3,745.7,745.7,84.10000
2016,1,746,758.3,746,756.8,756.8,80.50000
2016,2,757.5,781.3,757.5,777.9,777.9,128.00000
2016,3,778.2,778.2,764.9,771.2,771.2,69.50000
2016,4,771.6,773.9,768.2,773.9,773.9,60.60000
2016,5,773.4,773.5,751.7,758.7,758.7,106.00000
2016,6,758.7,765.6,758.7,764.2,764.2,116.00000
2016,7,764.2,771.5,759.8,768.1,768.1,96.40000
2016,8,768.1,774.7,765.9,770.8,770.8,80.10000
2016,9,769.9,774.5,769.6,772.8,772.8,68.70000
2016,10,773,777.1,772.9,774.7,774.7,53.80000
2016,11,774.8,774.8,765.4,769.7,769.7,57.30000
2016,12,770,781.9,770,780.1,780.1,76.60000
2016,13,780.6,788.5,778,780.6,780.6,81.60000
2016,14,780,782,776.8,781.5,781.5,76.00000
2016,15,780.1,781.4,777.8,778.1,778.1,81.60000
2016,16,779,785,779,784.9,784.9,83.60000
2016,17,785.2,792.5,784.9,790.8,790.8,79.00000
2016,18,791,794.7,788,790.5,790.5,60.50000
2016,19,790.7,793.6,790.3,792.7,792.7,74.90000
2016,20,792.2,801.3,791.5,800.9,800.9,99.60000
2016,21,800.6,834.3,799.4,834.3,834.3,156.00000
2016,22,834.2,875.8,834.1,864.5,864.5,200.00000
2016,23,864.9,925.1,864.7,922,922,276.00000
2016,24,922.2,923.5,886.3,898.8,898.8,138.00000
2016,25,899.7,899.7,862.4,896.2,896.2,144.00000
2016,26,896.9,913.2,896.9,907.6,907.6,124.00000
2016,27,908.4,940,904.3,933.2,933.2,167.00000
2016,28,934.8,975.9,934.8,975.9,975.9,237.00000
2016,29,975.1,979.4,954.5,973.5,973.5,199.00000
2016,30,972.5,972.5,934.8,961.2,961.2,187.00000
